px_est	py_est	vel_abs_est	yaw_angle_est	yaw_rate_est	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	nis_lidar	nis_radar
8.462918745489562	0.24346236596519058	-3.04035	0.0287602	0.0	8.462918745489562	0.24346236596519058	8.6	0.25	-3.00029	0.0	0.0	0.0
8.446477138338352	0.25131801563410483	-3.036551754516177	0.02804286852209238	-0.00003137867859895364	8.44818	0.251553	8.45	0.25	-3.00027	0.0	0.0	0.0
8.466766395347408	0.24789180260869062	-2.6932504305864255	0.039022982374814316	0.0009527489083568177	8.567594531394107	0.24194289765518065	8.45	0.25	0.0	0.0	0.0	0.0
8.422778224010559	0.2505367788873584	-2.6304391529561144	0.02379892649725971	-0.0008204918635549576	8.45582	0.253997	8.45	0.25	0.0	0.0	0.0	0.0
8.330831514788263	0.24942863619698405	-2.613186846086428	0.02060331663331487	-0.001363414584617138	8.425440946901976	0.2540424829975034	8.35	0.25	-1.81979	0.0	0.0	0.0
8.226925697200082	0.2483867684209383	-2.5919427231455296	0.018020837991412783	-0.0020139406706108113	8.23962	0.24916	8.25	0.25	-1.81978	0.0	0.0	0.0
7.9886229943544365	0.22307400523356036	-3.578213953568074	0.07135373527906654	0.025637074277093587	7.932863346041569	0.18839093139046836	8.05	0.2	-3.99976	-0.99994	0.0	0.0
7.83104556933041	0.17801268054402555	-3.5699437477417004	0.13773509875163364	0.06583092853561606	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.0	0.0
7.667400351689953	0.1498168807568944	-3.5206276757330253	0.1545510875685784	0.09328872036628658	7.612685516901352	0.15581764714048885	7.7	0.15	-2.99982	0.0	0.0	0.0
7.51007662541988	0.14333789350914666	-3.498335431780173	0.12906314072415898	0.05605408971026307	7.54016	0.159641	7.55	0.15	-2.99982	0.0	0.0	0.0
7.436585784901951	0.0685765734071285	-2.9985550527441167	0.27230882179278737	0.4754349710888755	7.508154159002526	0.09538271464508095	7.45	0.100001	-1.8165	-0.908239	0.0	0.0
7.296313510987539	0.027842830729851862	-2.9776382607347736	0.29370996540413674	0.46892743923184227	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.0	0.0
7.1429771047511394	-0.0072995692755776324	-2.982978338774512	0.29083121482615093	0.39084727629348287	7.205978315443176	0.004927246972609064	7.2	9.49949e-7	-2.72851	-0.909507	0.0	0.0
7.003491100004185	-0.055270854268117946	-2.965381385962123	0.3145316071365484	0.3964202976462958	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.0	0.0
6.909681473851252	-0.20299980351793812	-2.867623291155207	0.6065466588240578	1.1397597080525252	6.745850582158622	-0.14318463636223014	6.95	-0.15	-1.81898	-1.81898	0.0	0.0
6.797616701581897	-0.2822492566106749	-2.8440282423480006	0.6558943275312182	1.117269610955479	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.0	0.0
6.686881216598954	-0.36259694788321234	-2.841218715847786	0.69648290675775	1.0845595808824535	6.6696566998487254	-0.3466682877954227	6.75	-0.349999	-2.00076	-2.00075	0.0	0.0
6.59304378057514	-0.45862355181979075	-2.8314881182510274	0.7581109522659618	1.0982613660384344	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.0	0.0
6.551981598991643	-0.6330527486560973	-2.8488329993450408	1.0274713205927684	1.5702954842386694	6.6086155533789634	-0.5570347117888161	6.6	-0.549999	-0.998836	-1.99769	0.0	0.0
6.496331850836555	-0.7331498753889009	-2.8129160345721367	1.0939987306057621	1.5611015297070654	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.0	0.0
6.451266249941919	-0.8936871295529716	-2.83320858932993	1.2456642942642069	1.6940450888880514	6.406959183453424	-0.8429205955852803	6.5	-0.85	-0.908747	-3.63498	0.0	0.0
6.417461296366324	-1.0449201453057555	-2.8289993743867328	1.3450936633348942	1.7029685678118984	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.0	0.0
6.305910492058881	-1.120485251725028	-2.721200689144989	1.2187906438668392	1.3079834675697128	6.386257700641508	-1.156952213834711	6.35	-1.15	-1.81897	-1.81898	0.0	0.0
6.258860282432708	-1.2602592461198825	-2.7193929773175434	1.289585102098356	1.307267951703756	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.0	0.0
6.339981809287837	-1.4723306740270488	-2.8020445060377845	1.5871450199887251	1.6829165534501151	6.431251095509907	-1.4814808297452355	6.3	-1.45	0.909739	-3.63894	0.0	0.0
6.351762022339678	-1.6303552000681136	-2.806668237278302	1.6819921632285524	1.684281642079644	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.0	0.0
6.2882731480035785	-1.7226837928248344	-2.692435510206189	1.6064952790984592	1.4274926435306285	6.322803053579663	-1.8143095952024544	6.3	-1.8	-0.999494	-2.9985	0.0	0.0
6.286834302699277	-1.87151848663926	-2.7127483760255293	1.6714927204880894	1.4158949565940966	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.0	0.0
6.331081039063888	-2.0262360599370712	-2.7573870569154564	1.7882589420978798	1.485281165103732	6.31851130739266	-2.1096914576428216	6.3	-2.1	0.999984	-2.99994	0.0	0.0
6.360390685778035	-2.1711448418148502	-2.7718787294207727	1.8586890045199442	1.4782024508030664	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.0	0.0
6.35344494883931	-2.3027983741568097	-2.707443041164537	1.859599784471093	1.357444296279875	6.325926044161973	-2.400182160877222	6.35	-2.4	0.0	-2.72613	0.0	0.0
